confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,STANDARD_GERMAN_2-86-1,{},False,,bEak,177348,158578
,,,,STANDARD_GERMAN_2-87-1,{},False,,Xot,177349,158579
,,,,STANDARD_GERMAN_2-88-1,{},False,,gXin,177350,158580
,,,,STANDARD_GERMAN_2-89-1,{},False,,gElp,177351,158581
,,,,STANDARD_GERMAN_2-90-1,{},False,,vais,177352,158582
,,,,STANDARD_GERMAN_2-91-1,{},False,,Svaac,177353,158583
,,,,STANDARD_GERMAN_2-92-1,{},False,,naXt,177354,158584
,,,,STANDARD_GERMAN_2-93-1,{},False,,vaam,177355,158585
,,,,STANDARD_GERMAN_2-94-1,{},False,,kalt,177356,158586
,,,,STANDARD_GERMAN_2-95-1,{},False,,fol,177357,158587
,,,,STANDARD_GERMAN_2-96-1,{},False,,noi,177358,158588
,,,,STANDARD_GERMAN_2-97-1,{},False,,gut,177359,158589
,,,,STANDARD_GERMAN_2-98-1,{},False,,Xunt,177360,158590
,,,,STANDARD_GERMAN_2-99-1,{},False,,tXok3n,177361,158591
,,,,STANDARD_GERMAN_2-100-1,{},False,,nam3,177362,158592
